Index,Reward
1,0.038
2,0.049
3,0.106
4,0.127
5,0.184
6,0.23
7,0.277
8,0.314
9,0.35
10,0.394
11,0.437
12,0.449
13,0.468
14,0.504
15,0.534
16,0.546
17,0.563
18,0.592
19,0.589
20,0.603
21,0.635
22,0.637
23,0.642
24,0.651
25,0.665
26,0.651
27,0.67
28,0.66
29,0.655
30,0.662
31,0.673
32,0.669
33,0.664
34,0.673
35,0.653
36,0.667
37,0.672
38,0.671
39,0.673
40,0.18
41,0.275
42,0.354
43,0.469
44,0.549
45,0.625
46,0.707
47,0.767
48,0.792
49,0.839
50,0.865
51,0.891
52,0.919
53,0.929
54,0.942
55,0.953
56,0.967
57,0.973
58,0.976
59,0.979
60,0.987
61,0.986
62,0.99
63,0.988
64,0.996
65,0.993
66,0.996
67,0.997
68,0.995
69,0.995
70,0.996
71,0.997
72,0.995
73,0.995
74,0.998
75,0.997
76,0.996
77,0.997
78,0.996
79,0.142
80,0.21
81,0.252
82,0.305
83,0.373
84,0.416
85,0.459
86,0.494
87,0.521
88,0.578
89,0.589
90,0.618
91,0.634
92,0.647
93,0.659
94,0.689
95,0.688
96,0.71
97,0.707
98,0.707
99,0.712
100,0.728
101,0.732
102,0.742
103,0.749
104,0.755
105,0.756
106,0.747
107,0.753
108,0.739
109,0.768
110,0.753
111,0.757
112,0.757
113,0.742
114,0.745
115,0.754
116,0.765
117,0.738
118,0.148
119,0.222
120,0.301
121,0.341
122,0.382
123,0.451
124,0.477
125,0.541
126,0.561
127,0.578
128,0.612
129,0.636
130,0.647
131,0.662
132,0.689
133,0.701
134,0.708
135,0.707
136,0.72
137,0.719
138,0.74
139,0.732
140,0.746
141,0.75
142,0.75
143,0.755
144,0.759
145,0.766
146,0.772
147,0.754
148,0.761
149,0.764
150,0.77
151,0.771
152,0.759
153,0.759
154,0.765
155,0.765
156,0.757
157,0.165
158,0.23
159,0.307
160,0.349
161,0.417
162,0.456
163,0.514
164,0.537
165,0.569
166,0.605
167,0.633
168,0.644
169,0.667
170,0.676
171,0.689
172,0.7
173,0.715
174,0.729
175,0.737
176,0.739
177,0.741
178,0.742
179,0.755
180,0.763
181,0.763
182,0.76
183,0.757
184,0.765
185,0.754
186,0.768
187,0.751
188,0.758
189,0.766
190,0.755
191,0.754
192,0.772
193,0.761
194,0.769
195,0.757
196,0.171
197,0.254
198,0.316
199,0.368
200,0.41
201,0.479
202,0.514
203,0.548
204,0.594
205,0.614
206,0.673
207,0.648
208,0.656
209,0.668
210,0.693
211,0.699
212,0.708
213,0.726
214,0.722
215,0.723
216,0.748
217,0.749
218,0.747
219,0.758
220,0.754
221,0.755
222,0.772
223,0.785
224,0.776
225,0.768
226,0.771
227,0.782
228,0.78
229,0.778
230,0.774
231,0.766
232,0.769
233,0.769
234,0.781
235,0.195
236,0.242
237,0.315
238,0.371
239,0.431
240,0.491
241,0.537
242,0.553
243,0.594
244,0.621
245,0.648
246,0.67
247,0.701
248,0.697
249,0.71
250,0.745
251,0.731
252,0.728
253,0.737
254,0.725
255,0.723
256,0.726
257,0.723
258,0.732
259,0.731
260,0.734
261,0.724
262,0.713
263,0.726
264,0.722
265,0.728
266,0.723
267,0.719
268,0.711
269,0.715
270,0.709
271,0.718
272,0.708
273,0.705
